"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"R7A Medium","r7a.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","325 Mbps","40.625 MB/s","2500 IOPS","10000 Mbps","40.625 MB/s","40000 IOPS","$55.5384 monthly","$36.7336 monthly","$14.3810 monthly"
"R6IN 24xlarge","r6in.24xlarge","768.0 GiB","96 vCPUs","EBS only","150 Gigabit","75000 Mbps","9375.0 MB/s","300000 IOPS","75000 Mbps","9375.0 MB/s","300000 IOPS","$6108.5232 monthly","$3848.3702 monthly","$1553.0750 monthly"
"R7A Double Extra Large","r7a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$444.2780 monthly","$293.8907 monthly","$182.2080 monthly"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","EBS only","25 Gigabit","6800 Mbps","850.0 MB/s","30000 IOPS","6800 Mbps","850.0 MB/s","30000 IOPS","$1740.3200 monthly","$1096.4600 monthly","$441.7960 monthly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$1004.4800 monthly","$632.9100 monthly","$378.7240 monthly"
"C6I Extra Large","c6i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$124.1000 monthly","$82.0958 monthly","$43.5080 monthly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","2300 Mbps","287.5 MB/s","10000 IOPS","4750 Mbps","287.5 MB/s","20000 IOPS","$248.2000 monthly","$156.2200 monthly","$90.8850 monthly"
"R6G 16xlarge","r6g.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2354.6880 monthly","$1483.4330 monthly","$302.4390 monthly"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","347 Mbps","43.375 MB/s","2000 IOPS","2085 Mbps","43.375 MB/s","11800 IOPS","$24.5280 monthly","$15.4030 monthly","$6.5700 monthly"
"R5A Large","r5a.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","2880 Mbps","81.25 MB/s","16000 IOPS","$82.4900 monthly","$51.8300 monthly","$25.7690 monthly"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","20000 Mbps","2500.0 MB/s","86667 IOPS","20000 Mbps","2500.0 MB/s","86667 IOPS","$1740.3200 monthly","$1096.4016 monthly","$846.5810 monthly"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3027.4560 monthly","$2002.6601 monthly","$815.4830 monthly"
"M6IN 32xlarge","m6in.32xlarge","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","100000 Mbps","12500.0 MB/s","400000 IOPS","100000 Mbps","12500.0 MB/s","400000 IOPS","$6504.8256 monthly","$4098.0375 monthly","$2448.0550 monthly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","43 Mbps","5.375 MB/s","250 IOPS","2085 Mbps","5.375 MB/s","11800 IOPS","$3.7960 monthly","$2.4090 monthly","$0.5110 monthly"
"M6A Double Extra Large","m6a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$252.2880 monthly","$166.8853 monthly","$95.2650 monthly"
"R7I Metal-24xl","r7i.metal-24xl","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$4635.7920 monthly","$3066.5767 monthly","$520.6360 monthly"
"R5B Double Extra Large","r5b.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","5000 Mbps","625.0 MB/s","21667 IOPS","10000 Mbps","625.0 MB/s","43333 IOPS","$435.0800 monthly","$274.1004 monthly","$261.7780 monthly"
"R8G Metal-48xl","r8g.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$8256.8256 monthly","$5461.8892 monthly","$1089.9630 monthly"
"C7A 32xlarge","c7a.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$4795.3408 monthly","$3172.1201 monthly","$1280.7850 monthly"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","695 Mbps","86.875 MB/s","4000 IOPS","2780 Mbps","86.875 MB/s","15700 IOPS","$60.7360 monthly","$38.1060 monthly","$19.1260 monthly"
"M7A 12xlarge","m7a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$2030.9184 monthly","$1343.4555 monthly","$420.6260 monthly"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$63.0720 monthly","$41.7195 monthly","$21.3160 monthly"
"P2 General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","32 vCPUs","EBS only","10 Gigabit","5000 Mbps","625.0 MB/s","32500 IOPS","5000 Mbps","625.0 MB/s","32500 IOPS","$5256.0000 monthly","$3587.2200 monthly","$1334.8780 monthly"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","2300 Mbps","287.5 MB/s","10000 IOPS","4750 Mbps","287.5 MB/s","20000 IOPS","$315.3600 monthly","$198.5600 monthly","$116.5810 monthly"
"M5ZN Metal","m5zn.metal","192.0 GiB","48 vCPUs","EBS only","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2893.7930 monthly","$1823.1020 monthly","$828.4770 monthly"
"C5N Extra Large","c5n.xlarge","10.5 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","20000 IOPS","$157.6800 monthly","$99.2800 monthly","$63.3640 monthly"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$5298.0480 monthly","$3504.6570 monthly","$1326.1180 monthly"
"M6IN 12xlarge","m6in.12xlarge","192.0 GiB","48 vCPUs","EBS only","75 Gigabit","37500 Mbps","4687.5 MB/s","150000 IOPS","37500 Mbps","4687.5 MB/s","150000 IOPS","$2439.3096 monthly","$1536.7668 monthly","$1222.0930 monthly"
"R7A Eight Extra Large","r7a.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1777.1120 monthly","$1175.5628 monthly","$271.9250 monthly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$70.0800 monthly","$46.3550 monthly","$22.7030 monthly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","8 vCPUs","EBS only","High","1000 Mbps","125.0 MB/s","8000 IOPS","1000 Mbps","125.0 MB/s","8000 IOPS","$292.0000 monthly","$180.8940 monthly","$106.0690 monthly"
"M6I 32xlarge","m6i.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$4485.1200 monthly","$2966.9098 monthly","$1196.9080 monthly"
"M7A 32xlarge","m7a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$5415.7824 monthly","$3582.5407 monthly","$1053.8280 monthly"
"M7I Large","m7i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$73.5840 monthly","$48.6764 monthly","$24.3090 monthly"
"R6IN Quadruple Extra Large","r6in.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","12500 Mbps","1562.5 MB/s","50000 IOPS","25000 Mbps","1562.5 MB/s","100000 IOPS","$1018.0872 monthly","$641.3926 monthly","$457.4910 monthly"
"R6I Double Extra Large","r6i.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$367.9200 monthly","$243.3820 monthly","$160.0890 monthly"
"R7I Eight Extra Large","r7i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1545.2640 monthly","$1022.1898 monthly","$387.2650 monthly"
"R7A 16xlarge","r7a.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3554.2240 monthly","$2351.1183 monthly","$532.9000 monthly"
"HPC7A 96xlarge","hpc7a.96xlarge","768.0 GiB","192 vCPUs","EBS only","300 Gigabit","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","unavailable","unavailable","unavailable"
"R6I Metal","r6i.metal","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$5886.7200 monthly","$3894.0682 monthly","$1593.4440 monthly"
"R7G Extra Large","r7g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25039999999998 MB/s","6000 IOPS","10000 Mbps","156.25039999999998 MB/s","40000 IOPS","$156.3660 monthly","$103.4410 monthly","$41.2450 monthly"
"M7I Eight Extra Large","m7i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1177.3440 monthly","$778.8151 monthly","$441.8690 monthly"
"C7I-FLEX Double Extra Large","c7i-flex.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$247.5795 monthly","$163.7755 monthly","$88.6220 monthly"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","24 vCPUs","EBS only","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1446.8600 monthly","$911.5510 monthly","$601.0090 monthly"
"R7A Extra Large","r7a.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$222.1390 monthly","$146.9417 monthly","$73.4380 monthly"
"R8G 12xlarge","r8g.12xlarge","384.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$2064.2064 monthly","$1365.4723 monthly","$541.8790 monthly"
"C7I Extra Large","c7i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$130.3050 monthly","$86.1984 monthly","$43.7270 monthly"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$91.9800 monthly","$60.8455 monthly","$28.9810 monthly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1009.1520 monthly","$667.5558 monthly","$330.3980 monthly"
"M5N Large","m5n.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","4750 Mbps","81.25 MB/s","18750 IOPS","$86.8700 monthly","$54.7500 monthly","$29.7840 monthly"
"R5 16xlarge","r5.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$2943.3600 monthly","$1854.2000 monthly","$584.5840 monthly"
"R6A Large","r6a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$82.7820 monthly","$54.7573 monthly","$21.0240 monthly"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","300 Mbps","37.5 MB/s","2500 IOPS","3500 Mbps","37.5 MB/s","20000 IOPS","$18.6150 monthly","$11.7530 monthly","$5.6210 monthly"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$2978.4000 monthly","$1970.2116 monthly","$777.3770 monthly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$496.4000 monthly","$312.4400 monthly","$170.3090 monthly"
"R8G Medium","r8g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$43.0043 monthly","$28.4481 monthly","$7.3000 monthly"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$4415.0400 monthly","$2781.3000 monthly","$705.4720 monthly"
"C8G 12xlarge","c8g.12xlarge","96.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1397.3952 monthly","$920.8366 monthly","$183.8870 monthly"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$1349.0400 monthly","$849.7200 monthly","$479.3180 monthly"
"R6A 16xlarge","r6a.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2649.0240 monthly","$1752.3285 monthly","$493.9910 monthly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2242.5600 monthly","$1483.4549 monthly","$874.6130 monthly"
"C8G Extra Large","c8g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$116.4496 monthly","$76.7376 monthly","$14.8190 monthly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$8.4680 monthly","$5.2560 monthly","$1.4600 monthly"
"C6IN Large","c6in.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","1562 Mbps","195.3125 MB/s","6250 IOPS","25000 Mbps","195.3125 MB/s","100000 IOPS","$82.7820 monthly","$52.1512 monthly","$28.2510 monthly"
"C6I Metal","c6i.metal","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$3971.2000 monthly","$2626.9488 monthly","$539.9810 monthly"
"R7A Quadruple Extra Large","r7a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$888.5560 monthly","$587.7814 monthly","$276.0130 monthly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","28500 Mbps","3562.5 MB/s","120000 IOPS","28500 Mbps","3562.5 MB/s","120000 IOPS","$1513.7280 monthly","$955.3948 monthly","$243.8930 monthly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","4750 Mbps","81.25 MB/s","18750 IOPS","$70.0800 monthly","$43.8000 monthly","$22.8490 monthly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$1787.0400 monthly","$1182.1255 monthly","$579.4010 monthly"
"R7I 48xlarge","r7i.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$9271.5840 monthly","$6133.1534 monthly","$3157.2500 monthly"
"R7I Quadruple Extra Large","r7i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$772.6320 monthly","$511.0949 monthly","$247.4700 monthly"
"M7A 48xlarge","m7a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$8123.6736 monthly","$5373.8074 monthly","$1773.3890 monthly"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","1235 Mbps","154.375 MB/s","5000 IOPS","9500 Mbps","154.375 MB/s","40000 IOPS","$63.0720 monthly","$39.8069 monthly","$12.1180 monthly"
"C7A Large","c7a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$74.9272 monthly","$49.5670 monthly","$22.9950 monthly"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$111.6900 monthly","$73.8833 monthly","$39.2740 monthly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","16 vCPUs","EBS only","High","2000 Mbps","250.0 MB/s","16000 IOPS","2000 Mbps","250.0 MB/s","16000 IOPS","$581.0800 monthly","$367.9200 monthly","$191.1870 monthly"
"C7GN Large","c7gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 30 Gigabit","1042 Mbps","130.25 MB/s","4167 IOPS","10000 Mbps","130.25 MB/s","40000 IOPS","$91.1040 monthly","$57.3780 monthly","$11.3150 monthly"
"C7A Quadruple Extra Large","c7a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$599.4176 monthly","$396.5141 monthly","$228.3440 monthly"
"C7A 24xlarge","c7a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3596.5056 monthly","$2379.0919 monthly","$903.4480 monthly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","64 vCPUs","EBS only","75 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$2779.8400 monthly","$1751.2700 monthly","$1194.8640 monthly"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","350 Mbps","43.75 MB/s","2000 IOPS","2085 Mbps","43.75 MB/s","11800 IOPS","$27.4480 monthly","$17.2280 monthly","$8.3950 monthly"
"C6GN Quadruple Extra Large","c6gn.4xlarge","32.0 GiB","16 vCPUs","EBS only","25 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$504.5760 monthly","$318.4625 monthly","$151.1100 monthly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","2880 Mbps","81.25 MB/s","16000 IOPS","$62.7800 monthly","$39.4200 monthly","$23.4330 monthly"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$6054.9120 monthly","$4005.3275 monthly","$1563.8790 monthly"
"M7I 48xlarge","m7i.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$7064.0640 monthly","$4672.8760 monthly","$1905.8110 monthly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","18750 IOPS","4750 Mbps","593.75 MB/s","18750 IOPS","$735.8400 monthly","$463.5500 monthly","$278.0570 monthly"
"R7IZ 16xlarge","r7iz.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$4344.9600 monthly","$2737.3248 monthly","$1133.5440 monthly"
"C7I Eight Extra Large","c7i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1042.4400 monthly","$689.5726 monthly","$347.6260 monthly"
"M5ZN Large","m5zn.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","800 Mbps","100.0 MB/s","3333 IOPS","3170 Mbps","100.0 MB/s","13333 IOPS","$120.5960 monthly","$75.9930 monthly","$34.1640 monthly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$1118.4768 monthly","$739.8258 monthly","$401.5000 monthly"
"C8G 48xlarge","c8g.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$5589.5808 monthly","$3683.3391 monthly","$767.5220 monthly"
"M6I 24xlarge","m6i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3363.8400 monthly","$2225.1787 monthly","$961.1910 monthly"
"C6IN Quadruple Extra Large","c6in.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","12500 Mbps","1562.5 MB/s","50000 IOPS","25000 Mbps","1562.5 MB/s","100000 IOPS","$662.2560 monthly","$417.2242 monthly","$249.5870 monthly"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","60000 Mbps","7500.0 MB/s","260000 IOPS","60000 Mbps","7500.0 MB/s","260000 IOPS","$5220.9600 monthly","$3289.2048 monthly","$1847.5570 monthly"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$1906.1760 monthly","$1260.9290 monthly","$211.1160 monthly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$893.5200 monthly","$591.0664 monthly","$289.1530 monthly"
"M6IN Large","m6in.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","1562 Mbps","195.3125 MB/s","6250 IOPS","25000 Mbps","195.3125 MB/s","100000 IOPS","$101.6379 monthly","$64.0283 monthly","$33.0690 monthly"
"C6I Double Extra Large","c6i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$248.2000 monthly","$164.1843 monthly","$99.1340 monthly"
"C7I Double Extra Large","c7i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$260.6100 monthly","$172.3968 monthly","$88.6950 monthly"
"R7IZ Extra Large","r7iz.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1584 Mbps","198.0 MB/s","6667 IOPS","10000 Mbps","198.0 MB/s","40000 IOPS","$271.5600 monthly","$171.0828 monthly","$81.9060 monthly"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1986.7680 monthly","$1314.2482 monthly","$567.7940 monthly"
"P3 High Performance GPU Double Extra Large","p3.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","1750 Mbps","218.75 MB/s","10000 IOPS","1750 Mbps","218.75 MB/s","10000 IOPS","$2233.8000 monthly","$1524.2400 monthly","$570.9330 monthly"
